Date,Raw Cotton,Medium,Long,Extra Long,Cotton Yarn(Hanks),Cotton Yarn(Cones),Cotton Yarn(Hosiery Cones),Poly. Vis. Blended Yarn,Poly. Cott. Blended Yarn,Viscose staple fibre,Polyster staple fibre,Viscose Filament Yarn,Nylon Filament Yarn,Texturised Yarn,Raw Jute (TD-5 Ex W.B.),Raw Jute(W5 Ex. O'States),"Hessian(40x10)oz (FAS
Rs./100 mtrs)","Hessian(40x10)oz (FOR
Rs./100 mtrs)","Sack BTwills 2 1/4LBS(FAS
Rs/100 Bags)","B.Twills 2 1/4 LBS (FOR
Rs/100 Bags)",B.Twills(50 Kgs) FOR Rs/M.T.,Merino Wool (Imported),Woolen Yarn,Weaving 2/48,Shoddy Yarn (Fine),Shoddy Yarn (Medium),Shoddy Yarn (Coarse),Dupion Silk
1/1/2009,64.36,56.96,59.91,71.16,109.12,124.64,119.50,126.51,126.50,97.00,63.56,233.85,238.55,85.68,1273.48,1273.48,1284.13,1272.82,3701.08,3592.39,37500,238.33,367.56,590,122.5,80,55,720
2/1/2009,61.22,52.52,56.82,67.92,107.70,124.03,118.25,130.34,130.50,97.00,64.09,233.85,231.97,89.66,1939.16,1939.16,1300.83,1285.91,3609.37,3573.95,35995.83,255.44,367.56,590,122.5,80,55,726
3/1/2009,61.75,51.82,58.22,73.41,110.15,124.41,124.50,124.30,125.50,104.12,65.00,233.85,231.97,87.66,2085.00,2085.00,1331.4,1313.6,3653,3613,36504,277.66,320.47,415,122.5,80,62.5,723
4/1/2009,61.18,54.91,61.60,78.19,108.83,124.26,123.50,134.97,133.00,104.12,67.08,233.85,231.97,92.67,2289.28,2289.28,1377.72,1366.13,3753.4,3695.45,38222.72,280.24,320.47,415,122.5,80,62.5,683
5/1/2009,61.86,55.97,63.98,78.75,107.49,125.08,124.00,139.98,138.00,104.12,65.78,235.88,246.64,92.84,2412.50,2412.50,1416.25,1406.25,3868.75,3822.91,38795.83,289.77,320.47,415,122.5,80,62.5,609
6/1/2009,61.78,56.32,62.72,79.17,109.29,126.32,131.00,142.01,140.00,104.12,69.16,235.88,246.64,92.83,2672.50,2667.88,1520.76,1512.11,4005.76,3903.84,40307.69,298.21,320.47,415,122.5,80,62.5,632
7/1/2009,63.41,57.38,65.81,80.58,111.49,127.38,132.00,150.65,149.00,119.06,65.60,238.12,246.64,94.85,2801.73,2791.73,1520.19,1490.38,4067.3,3900,41938.46,344.09,366.9,415,122.5,80,62.5,584
8/1/2009,62.48,56.53,63.99,80.58,111.26,127.37,132.75,148.01,151.00,119.06,66.57,238.12,248.70,94.35,2267.29,2256.04,1384.2,1349,3961,3803,40404,344.43,320.47,415,122.5,80,62.5,560
9/1/2009,61.51,55.97,62.16,80.02,113.57,128.45,133.75,142.63,151.00,119.06,71.98,238.12,248.70,90.72,2046.50,2036.50,1450,1435.25,4126.25,3991.25,40187.5,369.25,320.47,415,122.5,80,62.5,642
10/1/2009,62.27,55.97,64.27,79.60,113.57,128.45,133.75,139.55,151.00,119.06,74.69,240.59,248.70,90.32,2269.50,2262.91,1525.2,1482.5,4217.71,4127.08,41041.66,392.29,320.47,415,122.5,80,62.5,572
11/1/2009,69.24,59.69,72.56,98.72,119.76,132.53,138.25,143.95,151.00,119.06,67.65,240.59,251.02,94.90,2619.84,2608.25,1544.72,1510.99,4259.24,4114.88,42202.29,415.03,345.53,525,115,77.5,45,600
12/1/2009,71.01,64.20,73.13,95.48,120.74,133.34,139.75,141.93,150.00,122.31,68.73,242.00,251.02,92.70,2695.14,2682.22,1569.02,1532.74,4325.22,4171.71,42768.2,403.75,320.61,415,122.5,80,65,771
1/1/2010,70.52,64.83,71.86,94.50,132.15,139.98,151.00,147.33,151.00,125.56,73.06,242.00,258.29,95.79,2696.57,2686.57,1872.39,1867.17,4500,4400,44500,397.8,388.47,487.5,142.5,95,72.5,750
2/1/2010,71.22,64.06,74.82,95.06,129.88,141.11,149.50,147.33,151.00,127.95,73.35,242.00,258.29,94.04,2714.16,2704.16,1888.12,1871.73,4566.67,4456.52,45104.16,366.32,388.47,487.5,142.5,95,72.5,831
3/1/2010,72.95,66.59,76.22,99.17,129.52,141.36,149.50,153.30,151.75,127.95,73.35,242,258.29,95.21,3068.46,3058.46,2021.67,1994.81,4740.74,4677.78,45574.07,415.51,387.55,487.5,142.5,95,72.5,890
4/1/2010,73.56,66.51,77.91,97.87,140.18,142.16,159.00,158.29,152.75,127.95,73.35,247.02,270.67,100.22,3129.54,3119.54,1979.28,1945.47,4692.85,4648.8,45714.28,414.61,388.47,487.5,142.5,95,72.5,978
5/1/2010,75.75,67.92,81.85,98.58,142.31,143.22,171.00,164.46,155.63,127.95,77.05,247.02,270.67,93.2,3233.95,3223.95,1939.58,1921.45,4714.58,4693.75,47250,399.86,388.47,487.5,142.5,95,72.5,964
6/1/2010,75.29,67.42,81.55,97.44,143.49,144.30,168.50,163.03,155.75,127.95,77.05,247.02,281.76,92.54,3308.26,3298.26,1889.23,1824.23,4773.07,4703.84,46634.61,404.81,388.47,487.5,142.5,95,72.5,931
7/1/2010,74.76,66.72,80.85,96.46,143.82,143.19,168.50,161.81,156.50,127.95,73.81,247.02,281.76,93.57,3005.96,2995.96,1662.11,1598.26,4596.15,4550,43788.46,425,388.47,487.5,142.5,95,72.5,836
8/1/2010,82.15,73.68,90.97,108.55,150.56,146.53,173.50,158.81,160.25,127.95,73.81,248.05,281.76,93,2786.73,2776.73,1773.84,1742.88,4828.84,4634.61,46538.46,424.49,388.47,487.5,142.5,95,72.5,750
9/1/2010,92.08,83.87,105.73,123.03,155.79,150.80,181.50,166.61,167.50,127.95,73.95,245.82,281.76,93,3206.3,3179.78,2008.26,1983.26,5039.13,4880.4,47000,439.53,388.47,487.5,142.5,95,72.5,855
10/1/2010,100.01,90.21,115.81,132.19,166.41,157.39,202.50,169.71,169.50,127.95,75.58,245.82,281.76,97.78,3209.18,3191.84,1842,1791.31,4944.73,4815.24,46760.33,440.75,388.47,487.5,142.5,95,72.5,800
11/1/2010,112.29,98.86,122.34,136.27,186.83,157.70,225.50,195.38,173.25,127.95,77.48,245.82,306.52,103.98,3247.69,3229.25,1831.86,1777.37,4990.29,4852.83,46954.53,450.11,388.47,487.5,142.5,95,72.5,931
